,Meet  the Investors You Want,,Purchase full investor lists,How to use a list of investors: A guide for startups,"Disclaimer: The information presented here is collected from public sources. It is subject to change from time to time, and Lucid Ventures Ltd (DBA ""Meet.Capital"") will not be held liable for any use or misuse of this list, nor will it be held accountable if any errors are found in it. Please research and check the links provided before reaching out to any investor. We encourage you to use the list thoughtfully. "
Yjvc,https://www.yjvc.io/,"Wilmington, Delaware, United States",https://www.linkedin.com/company/90492906/,"Pioneering the Future of Business - YJVC Ventures
At Yousuf Jamil Venture Capital (YJVC), our mission is to support and nurture the growth of the next generation of product-driven startups. We are passionate about partnering with visionary entrepreneurs who are dedicated to creating innovative and profitable businesses.

With years of experience in venture capital investing, we bring a wealth of knowledge and expertise to the table, helping our portfolio companies to achieve their full potential. From providing seed funding to offering strategic guidance and mentorship, we work closely with our founders to help them navigate the challenges of building a successful business.

At YJVC, we believe in the power of innovation and are committed to backing founders who are disrupting industries and driving change. If you are a startup founder with a compelling vision and a passion for building a profitable and impactful business, we would love to hear from you. Let's create the future together.",
Tradefront,http://tradefront.us,"San Francisco, California, United States",https://www.linkedin.com/company/79293507/,"Founded in the spring of 2022, TradeFront has evolved beyond an idea and has made the integral steps to becoming a tangible company. Through the venture capital & private equity platform, TradeFront provides startups with the resources to grow and attain funding. Company growth is based on a hybrid of increasing client investment capital & involvement. As a VC & private equity fund, TradeFront creates a user-specific portfolio of college startups-emphasizing risk management, ethics, and sector diversity. 

TradeFront offers VCs and students alike the opportunity to invest directly in early to end-stage startups. Our numerous partner student organizations/companies seeking funding located on campuses nationwide are connected with various venture capitalists.

TradeFront's administration consists of 10 student investors located on college campuses nationwide including UC Berkeley, Baylor University, the University of Southern California, UT Austin, Santa Clara University, University of Pennsylvania - Wharton School of Business, Columbia University, San Jose State, & UC Santa Barbara. 

TradeFront is currently in its seed funding phase.  ",
Music Capital Partners,http://www.musiccapitalpartners.com/,"Racine, Wisconsin, United States",https://www.linkedin.com/company/18295664/,"Providing seed, angel, and venture capital to the music industry.  

Music Capital Partners has a group of qualified angel investors who receive a summary of any potential investments that we seek to make. Think of us as a customized, angel investor group dedicated exclusively to the music industry.  

Chris Carpenter and Mike Harris are Music Capital Partners. ",
Top Seed Ventures,https://topseed.vc/,"New York, New York, United States",https://www.linkedin.com/company/91448171/,"TOP SEED Ventures provides resources for ground zero tech startups to help build awesome technology for a strong MVP and a firm company launch. Problem-solving visionaries are invited to turn their ideas into reality backed by TOP SEED's hybrid supportive model, pushing both founders and investors to the frontline of long-term success and aligned visions. 

TOP SEED is a new breed of venture capital firm that combines the most effective features of incubators, accelerators, and traditional venture capital with well-rounded technical expertise. The result is a highly efficient platform for launching ground zero tech startups. ",
Predictiveholdings,www.predictiveholdings.com,"McLean, Virginia, United States",https://www.linkedin.com/company/90740210/,"Predictive Holdings LLC is a holding company that invests seed capital and venture funding in growth oriented startups and businesses who develop cutting edge solutions and who has the potential to grow in markets that are sustainable for long term.
We provide investment and operational support.",
Elm Street Ventures,http://elmvc.com,"New Haven, Connecticut, United States",https://www.linkedin.com/company/8019516/,"Elm Street Ventures is a seed and early stage venture fund based in New Haven, Connecticut. We focus on catalyzing company formation with management expertise and capital around the deep resources of intellectual property at Yale and other Connecticut institutions.",
Z5 Capital,https://www.z5capital.com,"Palo Alto, California, United States",https://www.linkedin.com/company/65005555/,"We are a seed stage VC fund based in Palo Alto, CA investing in visionary entrepreneurs building enterprise startups.",
Blindspot Ventures,http://blindspot.vc,"Boston, Massachusetts, United States",https://www.linkedin.com/company/28186498/,"Blindspot Ventures is a seed focused venture capital fund based in Boston, backing cross vertical infrastructure and platform technologies

We partner with contrarian founders building disruptive new solutions to reshape the growth of their respective industries",
Rebellion Ventures,https://rebellionvc.com/,"San Francisco, California, United States",https://www.linkedin.com/company/89712841/,"Rebellion Ventures is a specialized seed-stage venture capital firm that partners with AI and Automation entrepreneurs, leveraging our operating experience and networks, with a track record of growing companies to multi-billion dollar IPO and M&A outcomes

We are on a mission to help entrepreneurs revolutionize how we work and live through AI and Automation. 

We help AI & Automation entrepreneurs accelerate their business, raise more capital, and scale their companies, leveraging our specialized focus, operating track record, industry expertise, and relationship networks.",
Atria Ventures,https://atria.vc,"San Francisco, California, United States",https://www.linkedin.com/company/80210666/,"Atria partners with founders reimagining the life sciences. We invest early, at inception and seed stages, in bold ideas at the nexus of technology and biology. If you're building, we're here: info@atria.vc",
Scrappy Capital,http://www.scrappycapital.com,United States,https://www.linkedin.com/company/64886296/,"Scrappy Capital is founder-focused, fact-focused, and future-focused. 

Proudly supporting credenza.digital, laskie.com and bookwitheva.com 

We invest in seed-stage startups in emerging tech hubs. We leverage our experience and contacts in traditional industries that are primed for disruption: Media & Entertainment (including sports, music and more), Logistics & Distribution, and Future of Work (including HR Tech, Talent Acquisition, Work-from-Home, Office Automation, and more). 

Scrappy Capital has a robust pipeline, an eye on early exits, relationships with syndication investors and follow-on VCs, and a unique operational and capital management approach -- including NO management fee. 

We only win when you do.",
Sprk Investors,https://www.sprkinvest.com,"Boston, Massachusetts, United States",https://www.linkedin.com/company/11215022/,"SPRK Investors provides Seed Capital to businesses in a diverse set of industries across the United States. SPRK Investors includes Accredited Investors from an extensive cross-section of sectors and backgrounds. Members not only invest, but mentor entrepreneurs and connect them to business resources, providing critical support to the success of early-stage businesses. New potential investments are welcome and more information on our process is included in the Entrepreneurs Section. ",
Slava Ventures,https://www.slava.vc/,"Menlo Park, California, United States",https://www.linkedin.com/company/89819477/,Slava Ventures is a seed-stage venture capital firm based in the heart of Silicon Valley. We invest in AI and deep tech companies founded by Ukrainian entrepreneurs in the US and Europe.,
Odeon Capital Partners,http://www.odeoncapital.com,United States,https://www.linkedin.com/company/978388/,Early and Seed Stage Venture Capital,
Gsa Venture Partners,http://www.gsavp.com,"New York, New York, United States",https://www.linkedin.com/company/1830670/,"GSA Venture Partners is a New York-based early stage venture fund that helps entrepreneurs build innovative companies

Current Fund: $102 million

Stage Focus: Early-stage and seed

Sector Focus: Technology-enabled and business information services across industries

Geography Focus: Primarily New York Metro and east of the Rockies

Investment Size: $100 thousand to $4 million in a company's first institutional round
.",
Acorn Innovestments,http://www.acorninnovestments.com,"Durham, North Carolina, United States",https://www.linkedin.com/company/3503080/,"Acorn Innovestments is a seed-stage and early-stage venture capital fund located in Durham, North Carolina.  Acorn primarily invests in companies that manufacture products out of advanced materials to solve environmental problems.  For more information about Acorn, visit www.acorninnovestments.com",
Bema Technologies,https://bema.dev/,"Hanover, New Hampshire, United States",https://www.linkedin.com/company/56413793/,"We provide seed capital, executive stewardship, day-to-day management, technology development, and operations support to our companies and entrepreneurs.",
Astir Ventures,https://www.astir.vc,"San Jose, California, United States",https://www.linkedin.com/company/69679569/,"Astir Ventures is an early stage VC based out of the US and India. We back early/seed stage startups that are shaping the future by creating a positive disruption in the industries they operate in. 

We are actively looking for the next generation of change makers and thought leaders.",
Cascade Seed Fund,http://www.cascadeseedfund.com,"Bend, Oregon, United States",https://www.linkedin.com/company/35632767/,Seed stage venture capital fund investing in software companies and consumer brands in the Pacific Northwest,
Ardent Venture Partners,https://ardent.vc/,"Washington, District of Columbia, United States",https://www.linkedin.com/company/71641303/,"With over 50 years combined of experience we have proven time and again that the right combination of capital and active strategic support during the seed stage can create significant value and outsized returns for both Founders and investors. 

Subscribe to our newsletter for updates -> https://mailchi.mp/ardent/newsletter-subscription",
Metamorphic Ventures,http://www.metamorphic.vc,"New York, New York, United States",https://www.linkedin.com/company/274951/,Metamorphic Ventures is a New York based seed stage VC investing in digital media and payment processing,
Nextfab Ventures,https://nextfabventures.com,"Philadelphia, Pennsylvania, United States",https://www.linkedin.com/company/80956447/,"NextFab Ventures enables entrepreneurs to develop prototypes fast and effectively through hands-on technical product development support, seed capital, business coaching, and introductions to contract manufacturers, advisors, and investors.",
Acadian Capital Ventures,http://www.acadian.vc,"Lafayette, Louisiana, United States",https://www.linkedin.com/company/30626524/,Acadian Capital Ventures seeks out startup companies in communities often overlooked by venture capital and provides access to seed funding and mentorship.,
Thin Line Capital,http://www.thinlinecapital.com,"Pasadena, California, United States",https://www.linkedin.com/company/30666656/,Thin Line Capital is a seed stage energy/sustainability fund targeting low capex technology companies in energy/food/water industries.,
Csc Upshot Ventures,http://csc-upshot.vc,"Palo Alto, California, United States",https://www.linkedin.com/company/12957658/,"Founded in 2015, CSC Upshot Ventures is an early stage venture fund focusing on providing seed capital to technology companies at scale. The firm seeks to invest in companies operating in enterprise, artificial intelligence, healthcare, Fintech and marketplace. In close partnership with AngelList, CSC Upshot Ventures built a new model of venture investing based on the needs of founders, investors and startup communities.",
Hbcu Seed,https://hbcuseed.com/,"Huntsville, Alabama, United States",https://www.linkedin.com/company/71174765/,"HBCU Seed is a venture capital and private equity firm that provides seed funding and services for HBCU (Historically Black College and University) students, Alumni, Faculty, & Staff Businesses. HBCU Seed’s mission is to close the racial wealth gap in America by providing support to Historically Black Colleges and Universities by funding, supporting, and encouraging entrepreneurship in HBCU colleges and universities which comprise over 100+ schools throughout the United States. ",
New Street Venture Group,https://www.newstreetvg.com/,"New York, New York, United States",https://www.linkedin.com/company/76109023/,"New Street Ventures Group is a private equity firm focused on investing in start-ups at the seed stage as well as undervalued small and medium private businesses
",
Tac Portfolio Advisors,http://www.tacportfolioadvisors.com,"Dallas, Texas, United States",https://www.linkedin.com/company/876193/,"At TAC Portfolio Advisors, we believe that successful portfolio growth hinges on what you do after the initial investment. To cultivate this growth, we provide custom monitoring and reporting solutions for alternative asset investments. Specifically, we focus on private equity portfolios, including seed and early-stage venture capital, as well as investment programs with economically-targeted return objectives.",
Carnegie Park Capital,http://www.carnegieparkcapital.com/,"New York, New York, United States",https://www.linkedin.com/company/76605628/,"Carnegie Park Capital is a SPAC capital solutions provider to entrepreneurial management teams daring to build revolutionary SPAC franchises. We leverage a venture capital approach to our principal investments, providing not just initial seed capital but also insight and perspective through our decade plus experience investing in SPACs. ",
Tartavull Ventures,http://tartavullventures.com,"Malibu, California, United States",https://www.linkedin.com/company/13607527/,"Tartavull Ventures is a small fund investing seed capital in early stage ideas. Our focus is on women: women entrepreneurs, women founders, and any product or software that empowers women. 

Get in touch: hello@tartavullventures.com",
Cicada Capital,http://www.cicadacapital.com,"Scottsdale, Arizona, United States",https://www.linkedin.com/company/28996975/,"Cicada Capital was founded by proven and successful entrepreneurs. We have a passion for early stage consumer internet companies. We primarily invest at the seed stage, with an investment target of $500,000-$5,000,000.",
Pebblebed,http://www.pebblebed.com,"San Francisco, California, United States",https://www.linkedin.com/company/81807035/,A technologist community and seed-stage fund.,
Tomorrow Ventures,http://www.tomorrowvc.com,United States,https://www.linkedin.com/company/903517/,"TomorrowVentures is a seed and early-stage venture capital firm focused on developing innovative ideas that have the power to change the way we live, interact, and thrive.  Founded in 2009 with a unique approach to venture capital and an extensive, diverse base of experience and expertise, we add value far beyond capital.  Our goal is to grow companies capable of transforming technology, lifestyle and philanthropy.

The firm is currently evaluating new opportunities.  TomorrowVentures is headquartered in Palo Alto, California and has an office in Denver, Colorado.",
Front Row Fund,https://www.frontrowfund.com/,"New York, New York, United States",https://www.linkedin.com/company/66935106/,Front Row is a seed and early-stage technology venture capital fund.,
The Edtech Fund,http://www.theedtechfund.com,"New York, New York, United States",https://www.linkedin.com/company/8895850/,"The EdTech Fund invests in seed stage education technology 
companies. ",
3Ig Ventures,https://www.3igventures.com/,"New York, New York, United States",https://www.linkedin.com/company/71008643/,"3ig Ventures is a venture capital fund focused on seed stage and early stage investments. Located in New York, NY.",
Max Ventures,http://www.maxventures.vc/,"New York, New York, United States",https://www.linkedin.com/company/18364763/,"Max Ventures is a seed stage focused VC firm that is based in NYC. The firm has a strong consumer tech focus with investments in rapidly growing commerce companies in New York City, San Francisco, and Los Angeles. The partners have a decade of successfully investing early stage companies across the globe. Max Ventures primarily invests in Digital Commerce, Digital Media, Fintech, and Digital Health.",
Aperture Venture Capital - Vc For The Multicultural Mainstream,http://www.aperturevc.com,"Philadelphia, Pennsylvania, United States",https://www.linkedin.com/company/49104596/,"Seed stage fintech fund + corporate partner network that invests in diverse founders +companies of The Multicultural Mainstream™. Offices in Philadelphia, New York, Los Angeles and Orange County.",
Virginia Investment Capital Group,http://www.virginiaactiveangelnetwork.com,United States,https://www.linkedin.com/company/1111879/,"Privately fund to invest in early and seed-stage companies, predominantly of UVA-alumni founded companies. No website for this fund. Currently listed website is for the angel group Virginia Active Angel Network, LLC.",
Equal Opportunity Ventures,https://www.eoventures.com/,"Boston, Massachusetts, United States",https://www.linkedin.com/company/40671226/,"EO Ventures invests in early-stage businesses that increase opportunity in America. We support entrepreneurs in creating commercially successful companies that advance economic mobility.

We believe that market forces can power great ideas to drastically expand economic opportunity. Guided by the best evidence and leading research on what drives economic mobility, we invest in people and ideas that can succeed in and transform those markets.

We are active partners to talented, mission-driven entrepreneurs. Our entrepreneurs receive seed funding, space, support, and access to a world-class team of advisors and researchers who provide strategic advice on how to build a highly successful business and maximize social impact.

RIGOROUS EVIDENCE + BIG IDEAS + UNTAPPED TALENT = INCREASED OPPORTUNITY",
Stage One Capital,http://www.stage1capital.com,"Austin, Texas, United States",https://www.linkedin.com/company/450114/,"Stage One Capital is an early stage and seed investment fund focused on game-changers, disruptors, and innovators. We are investors in awesomeness.

At Stage One we look for entrepreneurs with novel ideas to impact their respective markets. It really all comes down to investing in awesome people. People that are innovative, dynamic and bold, fundamentally shifting the playing field.  

When we invest in a company, we are committed. We do everything we can to help them win.

Stage One Capital is located in Austin, TX and Columbus, OH.

Twitter:  @Stage1Capital",
Startup Labs,http://www.startuplabs.org,"San Francisco, Minnesota, United States",https://www.linkedin.com/company/2428563/,"Startup Labs is a seed stage VC fund aiming to disrupt the startup scene by reinventing the traditional incubation process and helping companies launch in various countries. Along with the traditional VC investments, Startup Labs offers a program to assist teams with proving their business model. Our programs are mostly focused on emerging markets (i.e. Brazil, Turkey, Russia, India, Indonesia, Singapore etc) Startup Labs events aim to shake up the traditional incubation model by validating a teams products and defining revenue / user targets in only 3 weeks. From there, we help these companies cross-launch in multiple countries in record time.",
Pheasant Capital Management,http://pheasantcapital.com/,"Fort Worth, Texas, United States",https://www.linkedin.com/company/593892/,"Established as a holding entity, Moore Venture Capital has played a pivotal role in stewarding a diverse array of subsidiaries. While our foundation is deeply entrenched in the energy sector, our success story is enriched by a variety of alternative investments and seed capital initiatives that play significant roles in our robust portfolio.

In our continuous pursuit of growth and innovation, we have transitioned our operations to Pheasant Capital Management, while preserving the legacy and strength of the Moore Venture Capital name. This evolution underscores our commitment to adapt and evolve, ensuring we remain at the forefront of industry trends and opportunities.

At Pheasant Capital Management, we understand that diversity is key to sustainability and success. Hence, beyond our core focus in energy, we actively seek out and capitalize on alternative investments and provide seed capital, contributing to our diversified portfolio and resilience in various market conditions.

In the spirit of progress and continuity, we are excited to continue this journey under the banner of Pheasant Capital Management, embodying the innovative spirit of Moore Venture Capital and pushing the boundaries of success in the investment landscape.",
Dargo Capital,www.dargocapital.com,"Palo Alto, California, United States",https://www.linkedin.com/company/94976528/,"DARGO Capital is an angel investing company based in Silicon Valley, focused on investing in early-stage startups with high growth potential. DARGO provides seed funding, mentorship, and networking opportunities to help startups reach their full potential.",
Reign Ventures,http://www.reignvc.com,"New York, New York, United States",https://www.linkedin.com/company/35655595/,"At Reign Ventures, we understand that Seed Stage investing is about people, not just companies. 

Successful early-stage investing requires experience, 
patience, and a commitment to doing the work 
required to build trust and create value.

",
Tribeangels,https://tribeangels.org/,"Pleasant Grove, Utah, United States",https://www.linkedin.com/company/75583503/,"We are a community of connection implementing the strengths of TribeHouse and Assure Syndicates to build pride in local ecosystems. 

Join Our Pride
TribeAngels is a localized accredited investor network that meets monthly to forge lifelong relationships within its membership in addition to collectively vetting (and potentially investing) in local seed-stage capital deals.

The Lions Share
TribeAngels empowers its members with the resources, talent and ecosystem they need to succeed inside their local investment communities. We build tribes of like-minded investors through our online social platform, monthly events, golf tournament and annual Tribe Retreat.

Mission
TribeAngels plans to democratize the capital investment community so it can better support local businesses and the founders that create them. We increase the amount of access to local capital and decrease the time it takes to raise it.

We are a new tribe under TribeHouse working with Assure Syndicates to bring about this mission. ",
Kellogg Global Investor Network,https://www.kellogg.northwestern.edu/alumni/connect/clubs-and-affinity-networks/kellogg-global-investor-network.aspx,"Chicago, Illinois, United States",https://www.linkedin.com/company/96150253/,"The Kellogg Global Investor Network as an affiliate organization of the Kellogg School of Management with over 600 members from over 35 countries. The Network's purpose is to bring together Kellogg alumni and current Kellogg EMBA students who want to be connected to different types of investment opportunities as well as those looking for investors, board members, and strategic partners.  The range of investment opportunities is open and includes start-ups, seed-rounds, real estate, business acquisitions, ETA, social impact investing, etc.  The Kellogg Global Investor Network is not a fund but rather acts as a collaborative catalyst to bring Kellogg's global alumni networks together to (i) learn how to invest in different investment opportunities with other Kellogg alumni, (ii) brings executive expertise to support Kellogg businesses and investments, and (iii) connects those with investment opportunities.",
Front Four Ventures,http://front4ventures.com/,"Concord, Massachusetts, United States",https://www.linkedin.com/company/864636/,"We partner with inspirational entrepreneurs with exceptional promise in the consumer and digital commerce space.  We help them grow market-leading companies. Our Principals are all Founders. Experienced entrepreneurs with over decades of experience scaling ideas in the consumer sector. Approx 15% of our investments at any time are in companies that we helped found, invested in seed rounds and helped define the market; the remaining we invest alongside leading investment professionals and companies. ",
Tapestry Vc,https://tapestry.vc,"San Francisco, California, United States",https://www.linkedin.com/company/79449055/,"We are seed and early investors in breakout companies such as Hopin, Pitch, MetaMap, Manna, Zapp, Crossbeam, Nothing and Standard.

We back repeat and technical founders who are going after incumbents and new markets with a global view, and support them with our founder network.",
Goshen Fund,http://www.goshenfund.com,"Palo Alto, California, United States",https://www.linkedin.com/company/1556256/,"Goshen is an execution-oriented operation, leveraging a powerful pro-Israeli CEO alliance in the US with proven records of corporate success, domain expertise and business networks to take great Israeli technologies and transition business activity to US and global markets.  The Goshen Fund focuses on post-seed/pre-revenue companies with strong core technologies, low burn rates and clear near-terms plan to commercialization.  The Goshen Fund CEO alliance provides companies with access to Market, Management talent and Funding.  The Goshen Fund leverages significant valuation gap between Israel and the U.S. to attract funding and reduce investment risk, providing strong returns for the Goshen Fund.",
New Orleans Startup Fund,http://www.neworleansstartupfund.org,"New Orleans, Louisiana, United States",https://www.linkedin.com/company/1562348/,"The New Orleans Startup Fund is a nonprofit venture fund focused on business creation and innovation in the 10-parish Greater New Orleans region. The Fund exists to accelerate the growth of early-stage, pre-revenue companies looking for proof-of-concept capital.

The Startup Fund’s mission is to create jobs and economic prosperity for the 10-parish Greater New Orleans region by providing seed capital and business assistance to early-stage firms that demonstrate significant growth potential
________

PowerMoves.NOLA

Launched in 2014, PowerMoves.NOLA is an initiative created by the New Orleans Startup Fund to facilitate an inclusive entrepreneurial ecosystem and help minority-owned businesses in the city to scale. By providing legal, financial, and strategic guidance, PowerMoves.NOLA aims to close the gap for entrepreneurs of color.

Ultimately, the program’s goal is to improve the economic security of families, increase revenue, and expand employment in local businesses led by entrepreneurs of color.

Funding for PowerMoves.NOLA is generously provided by a grant from the W. K. Kellogg Foundation.",
Visium Ventures,http://www.visium.com,"San Francisco, California, United States",https://www.linkedin.com/company/841825/,"Visium is a venture catalyst organization that works exclusively with founders of early stage companies and their management team including:

Leading seed stage deals for qualified companies

Defining relevant and differentiated business models and launching new products and markets

Identifying and capturing new clients and partners

Identifying and implementing ""Go To Market Strategies""​, including product, pricing, partnering strategies

Forging key alliances and making relevant investor introductions on to East and West coast VCs

Realizing Value for Founders by structuring relevant Term Sheets and Acquisition Offers",
Planet Forward Ventures,http://planetforward.vc,"California, United States",https://www.linkedin.com/company/86947911/,Planet Forward is about cultivating seed-stage startups focused on climate-positive software solutions,
Vitamin Capital,https://vitamin.capital,"Malibu, California, United States",https://www.linkedin.com/company/80253759/,"We are current and former operators that believe traction, fundraising, and revenue all come from finding and maintaining product-market fit. We believe in teams that achieve this through rapid learning and iteration with their customers at the center of that experience.

We support founders regardless of the stage. Our favorite sectors are SaaS, CPG, Cannabis, Health, and Fintech. We always aim to move your company fast through the investment pipeline.  We follow on at any stage post seed round.",
Indicator Fund,http://indicatorfund.com,"San Francisco, California, United States",https://www.linkedin.com/company/94456983/,Seed Investing with Friends,
DN Capital,http://dncapital.com,"Menlo Park, California, United States",http://www.linkedin.com/company/dn-capital,"DN Capital is a global early stage and growth capital investor focused on Seed, Series A and select series B investments in fintech, SaaS, digital media, e-commerce, marketplaces, mobile applications and software companies. The firm was founded in 2000 and has operations in London, Berlin and Silicon Valley. DN Capital’s previous funds are top performers and the firm is one of the lead investors in companies such as Endeca (sold to Oracle), Shazam (one of the world’s leading mobile app), Auto1 (world's largest used car marketplaces), Purplebricks (IPO London) and Quandoo (sold to Recruit).",
Valley Growth Ventures,http://www.valleygrowthventures.com,"Youngstown, Ohio, United States",https://www.linkedin.com/company/valley-growth-ventures/?originalSubdomain=in,A “micro” venture capital investment fund created to support high-growth.,
Virginia Venture Partners,https://www.virginiaipc.org/vvp,"Herndon, Virginia, United States",https://www.linkedin.com/company/virginia-venture-partners,Virginia Venture Partners invests in seed-stage technology and life science companies.,
Ulu Ventures,http://www.uluventures.com,"Palo Alto, California, United States",https://www.linkedin.com/company/ulu-ventures,"Ulu Ventures is a leading seed-stage venture fund investing in diverse teams as well as Enterprise IT, FinTech, and Deep Tech startups.",
TSVC,http://www.tsvcap.com,"Los Altos, California, United States",https://www.linkedin.com/company/tsvcap,TSVC is a venture capital firm that focuses on seed-stage technology startups.,
TIA Ventures,https://www.tiaventures.com/,"Turlock, California, United States",https://www.linkedin.com/company/thought-into-action-ventures,"TIA Ventures is a seed-stage venture capital fund focused on B2B software, helping new businesses scale into industry standards.",
Spider Capital,http://www.spidercapital.com,"San Francisco, California, United States",https://www.linkedin.com/company/spider-capital-partners/,Spider Capital is a seed-stage enterprise venture capital focused on the digital transformation of industry.,
SparkLabs Global Ventures,http://www.sparklabsglobal.com,"Palo Alto, California, United States",https://www.linkedin.com/company/sparklabs-global-ventures,SparkLabs Global Ventures is a seed-stage investment firm.,
Sandalphon Capital,http://sandalphoncapital.com,"Chicago, Illinois, United States",https://www.linkedin.com/company/sandalphon-capital,Sandalphon Capital is a micro venture capital firm focused on Seed to Series A investments,
SaaS Ventures,https://www.saasventurecapital.com/,"Miami, Florida, United States",https://www.linkedin.com/company/saas-venture-capital/about/,SaaS Ventures is a seed stage venture capital fund focused on enterprise tech.,
MedMountain Ventures,https://mmv.vc/,"Salt Lake City, Utah, United States",https://www.linkedin.com/company/mmv-vc,MedMountain Ventures is a Seed VC that seeks to invest in companies that make a meaningful advancement to the care of patients.,
Liquid 2 Ventures,http://liquid2.vc/,"San Francisco, California, United States",https://www.linkedin.com/company/liquid-2-ventures/,Liquid 2 Ventures provides technology startups with seed-stage investments.,
KCRise Fund,https://kcrisefund.com/,"Kansas City, Missouri, United States",https://www.linkedin.com/company/kcrise-fund/,KCRise Fund is a Kansas City-based VC firm investing in Seed & Series A stage technology companies in Kansas and western Missouri.,
igniteXL Ventures,http://ignitexl.vc/,"Palo Alto, California, United States",https://www.linkedin.com/company/ignitexl/,"igniteXL Ventures is a global seed fund backing exceptional founders at the intersection point of technology, beauty, and wellness.",
Cowboy Ventures,http://www.cowboy.vc,"Palo Alto, California, United States",https://www.linkedin.com/company/cowboy-ventures,Cowboy Ventures is a generalist seed-stage fund focused fund investing in technology startups.,
Contour Venture Partners,http://www.contourventures.com,"New York, New York, United States",https://www.linkedin.com/company/contour-venture-partners/,"Contour Venture Partners is a seed stage venture capital firm that invests in the enterprise SaaS, B2B SaaS and financial services sectors.",
Cofounders Capital,http://cofounderscapital.com/,"Cary, North Carolina, United States",https://www.linkedin.com/company/cofounders-capital,"Cofounders Capital is a B2B software seed fund investing in the Southeast, with a particular focus on North Carolina",
Betaworks Ventures,https://betaworksventures.com/,"New York, New York, United States",https://www.linkedin.com/company/betaworks-ventures/,"Betaworks Ventures is a product-focused, seed-stage venture capital fund based in New York City and San Francisco.",
97212 Ventures,https://www.97212.vc/,"New York, New York, United States",https://www.linkedin.com/company/97212-ventures/,"Based in New-York, 97212 Ventures is a seed fund exclusively focused on investing in top early stage Israeli startups.",
Founder Collective,http://foundercollective.com,"Cambridge, Massachusetts, United States",https://www.linkedin.com/company/349075?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A349075%2Cidx%3A2-1-4%2CtarId%3A1441405914518%2Ctas%3AFounder%20Collective,Founder Collective is a seed-stage venture capital fund that helps entrepreneurs build their businesses.,
Brooklyn Bridge Ventures,http://brooklynbridge.vc,"New York, New York, United States",https://www.linkedin.com/company/10891696?trk=prof-exp-company-name,"Brooklyn Bridge Ventures is a seed stage investor. That typically means pre-revenue, pre-Powerpoint, pre-business plan, and even",
Morado Ventures,http://www.moradoventures.com,"Palo Alto, California, United States",https://www.linkedin.com/company/morado-ventures-llc,"Morado Ventures is focused on high-growth, seed-stage technology companies, with particular emphasis on “Data-fueled” businesses.",
Refactor Capital,http://www.refactor.com,"Burlingame, California, United States",https://www.linkedin.com/company/refactor-capital/,"Refactor Capital is a seed stage VC firm investing in climate, bio, and health.",
